# Common Internal Servers Ports
# By: github.com/sty-nathan


// TCP

T:21       FTP
T:22       SSH
T:23       Telnet
T:25       SMTP
T:53       DNS
T:69       TFTP
T:80       HTTP
T:88       Kerberos
T:110      POP3
T:111      RPCbind
T:123      NTP
T:135      MSRPC
T:137      NetBIOS-NS
T:138      NetBIOS-DGM
T:139      NetBIOS-SSN
T:143      IMAP
T:161      SNMP
T:389      LDAP
T:443      HTTPS
T:445      SMB
T:464      Kerberos Password
T:465      SMTPS
T:512      rexec
T:513      rlogin
T:514      rsh
T:587      Submission
T:631      IPP/CUPS
T:636      LDAPS
T:873      rsync
T:902      VMware Auth
T:989      FTPS Data
T:990      FTPS
T:993      IMAPS
T:995      POP3S
T:1080     SOCKS Proxy
T:1433     MSSQL
T:1521     Oracle DB
T:1723     PPTP
T:2049     NFS
T:2375     Docker API
T:2376     Docker TLS
T:3306     MySQL
T:3389     RDP
T:3690     SVN
T:4369     Erlang Port Mapper
T:5000     API/Web
T:5432     PostgreSQL
T:5601     Kibana
T:5672     RabbitMQ
T:5900     VNC
T:5985     WinRM HTTP
T:5986     WinRM HTTPS
T:6379     Redis
T:6443     Kubernetes API
T:6667     IRC
T:7001     WebLogic
T:8000     Alternate HTTP
T:8080     Alternate HTTP
T:8081     Alternate HTTP
T:8443     Alternate HTTPS
T:8888     Jupyter/Web
T:9000     SonarQube/API
T:9090     Prometheus
T:9200     Elasticsearch
T:9418     Git
T:10000    Webmin
T:11211    Memcached
T:15672    RabbitMQ Panel
T:27017    MongoDB
T:50070    Hadoop NameNode

// UDP

U:53       DNS
U:67       DHCP
U:68       DHCP Client
U:69       TFTP
U:88       Kerberos
U:111      RPCbind
U:123      NTP
U:137      NetBIOS-NS
U:138      NetBIOS-DGM
U:161      SNMP
U:389      LDAP
U:500      ISAKMP
U:514      Syslog
U:520      RIP
U:623      IPMI
U:1434     MSSQL Browser
U:2049     NFS
U:3702     WS-Discovery
U:4500     IPsec NAT-T
U:4789     VXLAN
U:5353     mDNS
U:11211    Memcached

// NMAPable

* TCP PORTS
-p 21,22,23,25,53,69,80,88,110,111,123,135,137,138,139,143,161,389,443,445,464,465,512,513,514,587,631,636,873,902,989,990,993,995,1080,1433,1521,1723,2049,2375,2376,3306,3389,3690,4369,5000,5432,5601,5672,5900,5985,5986,6379,6443,6667,7001,8000,8080,8081,8443,8888,9000,9090,9200,9418,10000,11211,15672,27017,50070

* UDP PORTS
-sU -p 53,67,68,69,88,111,123,137,138,161,389,500,514,520,623,1434,2049,3702,4500,4789,5353,11211

* TCP & UDP
-sSU -p T:21,22,23,25,53,69,80,88,110,111,123,135,137,138,139,143,161,389,443,445,464,465,512,513,514,587,631,636,873,902,989,990,993,995,1080,1433,1521,1723,2049,2375,2376,3306,3389,3690,4369,5000,5432,5601,5672,5900,5985,5986,6379,6443,6667,7001,8000,8080,8081,8443,8888,9000,9090,9200,9418,10000,11211,15672,27017,50070,U:53,67,68,69,88,111,123,137,138,161,389,500,514,520,623,1434,2049,3702,4500,4789,5353,11211
